u,g,r,i,z,modelFlux_u,modelFlux_g,modelFlux_r,modelFlux_i,modelFlux_z,petroRad_u,petroRad_g,petroRad_i,petroRad_r,petroRad_z,petroFlux_u,petroFlux_g,petroFlux_i,petroFlux_r,petroFlux_z,petroR50_u,petroR50_g,petroR50_i,petroR50_r,petroR50_z,psfMag_u,psfMag_r,psfMag_g,psfMag_i,psfMag_z,expAB_u,expAB_g,expAB_r,expAB_i,expAB_z,subclass,redshift,redshift_err
18.17544,16.95605,16.42965,16.07539,15.92345,53.68127,165.0358,268.0043,371.4019,427.1888,7.135624,7.025232,6.495229,6.857982,6.635342,53.45089,167.4317,354.7311,265.0938,388.1688,3.562523,3.565723,3.350765,3.498537,3.21749,20.51462,18.85409,19.42383,18.62962,18.22767,0.6500273,0.6741451,0.6544834,0.6755869,0.6654326,STARFORMING,0.09141649,6.47e-06
19.72662,18.88795,18.63163,18.33746,18.36881,12.86173,27.84951,35.26478,46.23914,44.91151,5.8071,5.46392,4.838933,5.928125,4.779079,13.68875,27.67922,43.17273,37.65641,51.44821,2.473384,2.460306,2.219915,2.573291,2.836704,21.45417,20.7149,20.741,20.405,20.22129,0.5752936,0.52678,0.5647715,0.4409347,0.3226309,STARBURST,0.074577,5.98e-06
22.26972,22.06022,21.82754,21.66051,21.57014,1.22041,1.493982,1.849986,2.151742,2.122194,4.782478,1.371484,1.312991,1.24791,1.159318,1.277369,1.410674,1.784593,1.579853,1.722734,0.8304279,0.6809855,0.6541203,0.6551232,0.5666778,22.30674,21.91459,22.18737,21.73953,21.67265,0.09991786,0.9936729,0.9498573,0.3212706,0.134709,STARFORMING,0.139668,2.64e-05
19.48282,19.02245,18.57907,18.63554,18.37392,16.10047,24.6046,37.01413,35.1376,44.70068,2.511928,2.211485,1.92617,2.160561,1.582012,17.31412,24.44548,35.55798,37.48523,42.93031,1.182467,1.076614,0.9839164,1.030553,0.9214292,19.87014,19.05614,19.41144,19.1176,18.82276,0.499053,0.4448834,0.4377973,0.488294,0.3248159,STARBURST,0.2704283,9.56e-06
19.3392,18.33142,17.68302,17.32494,17.08685,18.37792,46.49752,84.48714,117.4959,146.3014,4.331609,4.393959,4.132986,4.297804,3.917698,17.8212,45.53209,107.773,81.22279,115.7818,2.197993,2.276121,2.04969,2.187855,1.834493,21.32778,19.73353,20.31412,19.41465,19.04282,0.8078358,0.7660793,0.7555819,0.7706599,0.6818111,STARBURST,0.1690443,7.16e-06
19.10111,18.13579,17.7666,17.3971,17.31184,22.8844,55.67784,78.22717,109.9411,118.918,2.403827,2.408381,2.327061,2.324939,2.376108,22.41693,56.11527,110.1857,78.77235,113.1861,1.177801,1.214173,1.152507,1.159143,1.124471,19.92347,18.95482,19.04447,18.56961,18.36685,0.6844597,0.7451527,0.737904,0.7396587,0.7387111,STARBURST,0.08606575,6.41e-06
19.42082,18.53009,18.23896,17.98016,17.82536,17.0468,38.72242,50.63073,64.2589,74.09926,3.479074,3.932006,4.152943,3.934602,3.964602,16.89373,37.13987,67.21107,49.83768,72.24923,1.918158,1.9045,2.020654,1.894398,1.870218,20.91501,20.1208,20.12046,19.90537,19.52912,0.5249037,0.5449323,0.6172051,0.6039721,0.5575842,STARBURST,0.04970132,5.4e-06
18.80147,17.36644,16.7332,16.38906,16.18732,30.15797,113.0895,202.6375,278.211,335.0197,4.414695,5.732609,6.310183,5.991127,5.99227,21.79269,84.98734,219.2766,155.7618,247.3142,2.413805,2.578191,2.758895,2.710418,2.533125,20.635,18.93213,19.45794,18.67469,18.38633,0.6601679,0.6737819,0.6863928,0.6846665,0.6652238,STARFORMING,0.04624334,1.34e-05
18.72399,17.37744,16.83674,16.4753,16.22705,32.38877,111.9503,184.2067,256.9677,322.981,10.07123,9.81401,8.59994,8.643388,7.563208,41.52516,130.369,270.1556,195.2671,308.8312,4.476335,4.386518,3.791999,3.838011,3.475784,20.80951,19.02126,19.43226,18.68978,18.36449,0.7411628,0.56915,0.6048076,0.5873473,0.599125,STARFORMING,0.0781423,9.54e-06
18.51591,17.47542,17.05345,16.71552,16.60316,39.23129,102.2899,150.8757,205.9638,228.4192,3.067847,2.934554,3.27626,3.187623,3.543548,32.77947,88.48037,185.1305,136.2661,206.8692,1.311726,1.413309,1.455955,1.44906,1.482071,19.45193,18.20553,18.4364,17.89528,17.77028,0.7435009,0.6825424,0.6639286,0.6666449,0.6476605,STARBURST,0.1129201,6.18e-06
18.3118,17.10282,16.57494,16.25816,16.06015,47.34526,144.1688,234.4356,313.8594,376.6509,8.131175,7.481666,7.145179,7.358704,6.729279,51.16248,146.617,311.5218,234.3214,352.891,3.568857,3.364744,3.191595,3.246407,3.020358,20.37513,18.87641,19.33961,18.67267,18.27506,0.6336803,0.6337758,0.6480131,0.6551846,0.6999061,STARFORMING,0.04845156,8.39e-06
18.50943,17.29225,16.71658,16.28392,16.13868,39.4661,121.088,205.7631,306.5017,350.371,4.560989,4.971742,4.163852,4.617427,4.081242,35.83365,106.8072,258.3376,178.6777,294.406,2.337606,2.21733,2.021274,2.127617,2.070186,20.10954,18.46121,18.92952,18.10562,17.87749,0.7608729,0.7184221,0.73075,0.7756552,0.8112729,STARBURST,0.1121715,6.74e-06
19.22556,18.13853,17.75437,17.48548,17.4403,20.40579,55.53754,79.11389,101.3464,105.6472,7.014777,6.585686,6.354371,7.06259,5.682679,21.27549,58.18577,95.24192,79.73132,84.27034,3.361003,3.365224,2.927035,3.170679,2.509974,21.28169,19.80184,20.24746,19.60177,19.37026,0.6999549,0.7263418,0.7058294,0.74047,0.6714851,STARFORMING,0.07646061,9.29e-06
18.86197,18.38594,18.04535,17.93133,17.81823,28.52347,44.22021,60.5146,67.21452,74.58712,2.044122,1.97228,1.90457,2.122614,1.967459,27.07412,42.51208,64.89339,58.58514,73.23878,1.008482,0.9562677,0.9280928,1.038878,0.9464392,19.0668,18.32396,18.69623,18.27345,18.14463,0.8471913,0.7206991,0.537226,0.532666,0.5647923,STARBURST,0.2462505,7.4e-06
19.25275,18.50898,18.42142,18.15364,18.17868,19.90124,39.48269,42.79837,54.7697,53.51137,4.018571,3.152953,3.030305,3.113121,2.767725,21.26828,40.07607,53.94287,44.49066,56.80495,1.684887,1.54831,1.508324,1.518528,1.541536,19.9524,19.36624,19.32172,19.05,19.20803,0.2578727,0.3327695,0.3189846,0.3499989,0.2749482,STARBURST,0.07305375,6.15e-06
