u,g,r,i,z,modelFlux_u,modelFlux_g,modelFlux_r,modelFlux_i,modelFlux_z,petroRad_u,petroRad_g,petroRad_i,petroRad_r,petroRad_z,petroFlux_u,petroFlux_g,petroFlux_i,petroFlux_r,petroFlux_z,petroR50_u,petroR50_g,petroR50_i,petroR50_r,petroR50_z,psfMag_u,psfMag_r,psfMag_g,psfMag_i,psfMag_z,expAB_u,expAB_g,expAB_r,expAB_i,expAB_z,subclass,redshift,redshift_err
20.22415,19.03996,18.70607,18.42184,18.34433,8.132232,24.21077,32.92803,42.78164,45.93628,2.350433,2.206043,2.382607,2.278613,2.495624,8.203857,24.0684,43.91451,33.74726,50.0197,1.130234,1.103518,1.137719,1.10792,1.180295,20.92359,19.62662,19.76998,19.35735,19.23995,0.4150911,0.4557857,0.3978958,0.4123683,0.4543719,STARFORMING,0.04327894,5.89e-06
17.93262,16.50136,15.80179,15.37776,15.10276,67.13502,250.8738,477.8415,706.1492,909.6929,5.352926,5.958938,5.466023,5.962527,5.393081,54.42305,211.4486,562.0445,393.2145,697.8061,2.704546,2.711115,2.484309,2.697051,2.423113,19.45529,17.29722,18.08798,16.88619,16.62536,0.7633493,0.7674118,0.7702952,0.7795014,0.8324955,STARFORMING,0.0695866,6.33e-06
19.323,18.0209,17.43062,17.0859,16.85548,18.65412,61.89261,106.5981,146.433,181.0514,3.168544,3.004269,3.178649,3.127645,3.121785,15.74879,59.89436,144.8447,106.7954,175.4325,1.412715,1.451214,1.557831,1.531958,1.529962,19.73568,18.28595,18.7704,17.85965,17.62487,0.6092397,0.9551114,0.9408186,0.9705216,0.8822383,STARFORMING,0.05058324,9.8e-06
19.71984,18.40658,17.77153,17.44161,17.19877,12.9423,43.38779,77.87268,105.525,131.9708,18.02253,6.211838,6.011527,6.56138,5.748509,19.79554,44.11906,95.87757,74.12851,101.8329,4.080751,3.02223,2.657882,2.794128,2.283838,21.74691,20.12194,20.61397,19.70929,19.47109,0.7913827,0.8286748,0.8108533,0.8524743,0.8243102,STARFORMING,0.153846,1.81e-05
19.56737,19.13672,18.50213,18.18503,17.90018,14.89405,22.14644,39.7324,53.20898,69.16397,2.941377,2.811044,2.77513,2.867717,2.736178,16.00121,23.03723,56.57652,40.91161,70.09632,1.275096,1.346932,1.286547,1.289212,1.330867,20.02115,19.23697,19.70171,18.95311,18.61284,0.5751699,0.4179448,0.3843629,0.428293,0.3599368,STARBURST,0.2473966,7.14e-06
18.91014,17.95835,17.61011,17.33351,17.28277,27.28551,65.56334,90.35551,116.5721,122.1452,5.05935,5.728959,5.602012,5.804939,6.255866,28.76078,70.12577,122.2238,95.59126,137.2181,2.652999,2.658011,2.5887,2.638389,2.766018,20.35438,19.26855,19.51586,19.01733,19.00053,0.7036716,0.7595253,0.788827,0.7751665,0.8794774,STARBURST,0.09350962,6.46e-06
18.72626,17.48911,16.97352,16.64578,16.43814,32.3212,101.0083,162.4023,219.6286,265.9133,15.27883,4.466514,3.713418,3.870584,3.976566,32.82637,95.37568,194.9986,146.1471,238.1709,2.019524,1.882762,1.651428,1.676357,1.644274,19.88288,18.19949,18.71227,17.8388,17.69546,0.5933879,0.6728771,0.7024289,0.6807765,0.7971894,STARFORMING,0.06363438,8.72e-06
18.36401,16.8635,16.01501,15.5764,15.2687,45.12242,179.7209,392.6394,588.0859,780.7668,7.19923,6.557583,5.900603,6.303664,5.641387,39.79538,148.2701,417.2074,291.1775,527.7006,3.409216,3.405438,2.891928,3.069442,2.743791,20.4719,18.10441,18.97179,17.70172,17.25553,0.6562397,0.6336363,0.6325813,0.6134217,0.6267617,STARFORMING,0.1199603,1.94e-05
19.3968,17.97137,17.29982,16.8965,16.64826,17.42824,64.78156,120.246,174.3403,219.1247,6.924273,6.240549,5.568535,5.91482,5.646916,19.12016,65.51472,153.6294,116.203,178.2325,3.203308,2.995259,2.548943,2.801001,2.356051,21.60918,19.63728,20.20948,19.18289,18.70715,0.3355201,0.3862072,0.3894756,0.388224,0.4048643,STARFORMING,0.08521917,9.89e-06
20.04692,17.95012,17.28485,16.87809,16.58318,9.575015,66.06214,121.9153,177.323,232.662,4.002674,6.439577,5.545785,5.8297,5.303343,7.445224,70.73373,171.0798,123.959,215.9473,2.065503,2.977611,2.583382,2.816992,2.476434,21.88692,19.06244,19.8573,18.77496,18.43541,0.2946431,0.2923897,0.314512,0.3273597,0.3168783,STARFORMING,0.1131216,1.2e-05
21.87861,20.72583,19.72924,19.34872,19.0354,1.761314,5.123108,12.83112,18.21662,24.29063,2.15813,2.542668,2.532895,2.443605,2.945928,1.380483,5.016428,17.90888,11.93045,26.21902,1.043566,1.297429,1.310412,1.241687,1.500496,23.00014,20.75791,21.66957,20.24908,19.86757,0.2034014,0.5941547,0.6130244,0.5405465,0.4409414,STARBURST,0.2779833,1.31e-05
15.85428,15.47454,15.49352,15.97615,15.91181,455.2894,645.927,634.7335,406.9478,431.7911,8.289111,10.63388,12.40392,11.50952,11.24083,384.1102,614.7406,445.0755,635.7849,379.8365,3.062127,4.053405,4.875231,4.461046,3.404516,17.45306,17.21361,17.12998,17.95993,17.94736,0.8903391,0.6796504,0.7452272,0.7422976,0.821707,STARBURST,0.003051151,7.07e-06
20.81668,20.34049,19.86839,19.65881,19.22198,4.709185,7.306954,11.28748,13.68987,20.44742,5.870604,1.337459,1.500781,1.385656,1.56247,4.486374,7.025977,13.94364,11.09146,21.25535,0.692674,0.6856724,0.7586198,0.7190598,0.789878,21.0478,20.13235,20.5441,19.943,19.4342,0.6546715,0.9920944,0.8019683,0.9910886,0.9934343,STARBURST,0.2878816,1.74e-05
18.74051,17.51633,17.10639,16.83297,16.68997,31.89964,98.50678,143.6957,184.846,210.8666,4.946458,5.47047,5.298965,5.563332,5.505538,29.75631,95.4954,177.6932,140.6611,205.7688,2.462417,2.652535,2.548789,2.628376,2.589073,20.77357,19.21964,19.67488,19.06941,18.76778,0.7406307,0.7370538,0.7759334,0.7441385,0.7469803,STARFORMING,0.08674925,7.74e-06
21.46637,20.57236,19.67643,19.2622,19.03617,2.583339,5.901419,13.4708,19.72796,24.27318,11.30634,2.597151,7.268571,2.291873,2.161057,2.716924,6.234448,20.57513,12.63878,20.33044,1.484522,1.311813,1.259346,1.140037,1.015038,22.05598,20.73888,21.40256,20.32973,19.95618,0.5275853,0.7443098,0.9347658,0.8649704,0.6078991,STARBURST,0.3076762,1.19e-05
21.12497,21.16555,21.34133,22.28602,21.83011,3.542718,3.415688,2.9022,1.191239,1.557881,1.442222,1.311745,1.185347,1.192035,0.955295,3.145943,3.268772,1.070909,2.47211,1.089649,0.7840419,0.6693182,0.60777,0.6051868,0.4986888,21.20634,21.4593,21.27966,22.42026,21.8381,0.3907072,0.7834244,0.09564172,0.2251849,0.2723224,STARBURST,0.01462964,5.82e-06
19.41397,18.15864,17.51937,17.10938,16.87646,17.15472,54.51822,98.2314,143.2998,177.5852,3.749654,3.868274,3.41219,3.528159,3.349043,17.27856,54.50201,137.3043,98.92234,157.918,1.814821,1.832873,1.640473,1.73525,1.562256,20.4351,18.79544,19.29703,18.35784,18.12351,0.3160786,0.3352568,0.3474308,0.343288,0.3163528,STARFORMING,0.07718887,6.8e-06
20.47646,19.43965,19.00827,18.72008,18.47386,6.444839,16.7543,24.92764,32.50528,40.76758,4.434091,3.970998,3.890124,3.973025,3.620747,7.211274,15.3727,28.89821,23.81851,29.66169,2.107499,1.968277,1.89691,1.980704,1.645198,22.43905,21.134,21.35295,20.88206,20.35797,0.6683204,0.7035604,0.7705871,0.7005566,0.663498,STARFORMING,0.06592631,1.37e-05
17.64421,16.62002,16.24882,15.95965,15.89248,87.56157,224.9003,316.5718,413.179,439.5485,3.461663,3.867402,4.289025,4.328957,4.786373,62.2922,185.2705,347.377,268.6757,390.291,1.601116,1.834988,1.942109,2.007383,2.080441,18.83146,17.61896,17.98208,17.41245,17.26821,0.6040882,0.5793269,0.5883819,0.568021,0.5747331,STARBURST,0.07207723,5.37e-06
22.56501,22.0055,21.17271,20.61282,20.18388,0.921068,1.571752,3.391342,5.681162,8.377195,1.910142,1.75527,1.290102,1.250479,1.312111,0.9479573,1.605091,5.49356,3.054458,4.743743,0.8933063,0.7552698,0.622694,0.596813,0.5010225,22.70236,21.31857,22.06879,20.7778,20.33558,0.4501209,0.3224198,0.9996561,0.9997677,0.508787,STARBURST,0.2875392,2.62e-05
20.47216,19.40972,18.85019,18.49969,18.40219,6.470405,17.22271,28.83487,39.82106,43.55114,2.47879,2.410574,2.350038,2.59261,2.329206,5.818947,15.5984,37.01867,28.97555,39.24781,1.172687,1.171481,1.155511,1.26902,1.120649,21.35172,19.9284,20.30457,19.58326,19.3987,0.4111542,0.6254187,0.6417586,0.6661613,0.6673605,STARBURST,0.1293751,7.02e-06
19.09246,18.04372,17.54481,17.15899,17.02144,23.06751,60.60555,95.95692,136.8997,155.3872,13.98192,5.1084,5.053735,4.867237,4.785613,29.75185,64.15947,135.2361,97.60606,145.3559,3.060512,2.568919,2.309115,2.366349,2.18518,20.76158,19.29664,19.69821,18.78202,18.52516,0.7657959,0.7712422,0.7655891,0.7583455,0.773206,STARBURST,0.1448122,6.91e-06
20.77683,19.72878,19.21853,19.01397,19.02166,4.885541,12.8371,20.53866,24.79638,24.60051,5.345203,3.403696,3.659221,3.398739,3.076126,6.99825,13.78315,26.69242,22.62099,27.10841,2.202831,1.511769,1.508364,1.5274,1.427804,21.88002,20.71176,20.90456,20.38669,20.41533,0.5766432,0.8660529,0.8283888,0.9351795,0.9002488,STARBURST,0.2032745,9.21e-06
18.73191,17.25076,16.48973,16.03294,15.72275,32.15352,125.804,253.5753,386.2091,513.9225,11.80656,7.569609,7.027809,7.272959,7.206011,37.52482,128.9081,376.3228,249.9405,507.4573,3.715961,3.459654,3.194801,3.234963,3.271764,20.92916,18.90181,19.58875,18.40258,17.90499,0.363588,0.3497051,0.3518948,0.3655273,0.3780767,STARFORMING,0.07024187,1.06e-05
20.15105,18.69514,17.66074,17.19075,16.84784,8.698939,33.26145,86.23923,132.9532,182.3289,4.234079,5.268504,4.259961,4.739438,4.004964,7.25564,27.44532,91.35634,66.31784,113.3735,2.337699,2.405785,2.002628,2.261624,1.774739,21.91153,19.60595,20.69449,19.108,18.63348,0.4050456,0.4832946,0.5172524,0.5087028,0.5570707,STARFORMING,0.1827844,2.08e-05
22.44617,21.4175,20.30434,19.57938,19.16354,1.03218,2.707206,7.553617,14.72936,21.5812,2.969917,3.569474,2.868556,2.832255,2.481751,0.6521219,2.480746,12.75736,6.364999,16.03311,0.8820468,1.655598,1.3645,1.319233,1.153879,22.77606,20.9564,21.95807,20.19598,19.81787,0.05,0.4192103,0.5423542,0.4241886,0.5613964,STARBURST,0.5587028,6.37e-05
17.80771,16.90859,16.8631,16.71813,16.69317,75.32038,172.4101,179.7883,205.469,210.2453,4.00633,4.116098,4.114689,4.057197,3.899527,73.64246,173.6564,206.2121,182.5812,201.0126,1.884692,1.90717,1.894873,1.8945,1.78218,18.84964,18.19848,18.06434,18.1129,18.04557,0.720257,0.8146599,0.7640538,0.7733002,0.7235588,STARBURST,0.03978997,4.6e-06
19.6739,18.29596,17.63959,17.22819,16.99903,13.50185,48.04139,87.93499,128.4471,158.628,6.591755,6.629731,6.407029,6.022429,5.764607,15.85085,56.90897,143.2976,97.46985,164.9509,2.899014,2.911184,2.705035,2.685587,2.493028,21.05883,19.03535,19.77156,18.61741,18.40122,0.3499259,0.319081,0.3380826,0.3154862,0.3147962,STARFORMING,0.06712651,7.6e-06
20.04161,18.44722,17.72369,17.3347,17.03151,9.62199,41.79349,81.38114,116.4448,153.9526,5.432566,3.909695,3.633735,3.83037,3.704555,10.79532,42.06639,113.1432,81.8322,142.959,1.928169,1.887704,1.771154,1.877626,1.733966,20.76976,18.65802,19.33583,18.3395,18.00682,0.520974,0.7740798,0.7449621,0.7454885,0.7316976,STARFORMING,0.06695791,1.97e-05
18.34686,17.11012,16.55916,16.27586,16.065,45.84099,143.2033,237.8678,308.7858,374.9728,15.17929,6.987115,6.790937,7.050928,7.007017,51.73552,144.7432,293.0966,228.784,359.8535,3.798961,3.44758,3.306555,3.391937,3.248743,20.35762,18.28434,19.2267,18.16669,18.16668,0.509907,0.5742862,0.5532996,0.5523528,0.5701857,STARFORMING,0.02807629,1.5e-05
19.27417,18.04324,17.39573,17.00326,16.74237,19.51235,60.63228,110.0801,158.0139,200.9312,5.17625,4.544237,4.2762,4.407743,3.886519,23.39462,62.65776,155.5509,110.5751,181.6048,2.54689,2.17975,2.049541,2.118976,1.844,20.65616,18.72683,19.63399,18.42622,18.22611,0.8405123,0.8342988,0.8440852,0.8511473,0.8342988,STARFORMING,0.1060403,7.52e-06
19.1473,18.09801,17.66498,17.3203,17.22483,21.93125,57.64951,85.90298,117.9991,128.8411,2.368043,2.473789,2.291526,2.292959,2.671701,18.70106,52.2397,106.1629,78.41409,124.0022,1.202405,1.193788,1.092048,1.11408,1.248966,19.64841,18.3945,18.67001,18.04786,17.87932,0.6970638,0.6448983,0.5807186,0.555422,0.5709614,STARBURST,0.123735,6.99e-06
23.7489,22.46877,21.55109,21.46297,21.51218,0.2546309,1.021314,2.390417,2.586556,2.263412,4.582706,1.116534,1.22172,1.245549,1.293384,0.4268014,1.029454,2.149372,2.435064,1.417379,0.9356083,0.6513504,0.5242993,0.6703729,0.554384,23.69366,21.63476,22.53769,21.5987,21.71582,0.05,0.09355852,0.5492363,0.4854459,0.546638,STARBURST,0.1859164,3.64e-05
18.03477,17.08654,16.76294,16.56732,16.42024,61.10654,146.3471,197.1616,236.0879,270.3331,3.083857,3.384313,3.524369,3.527516,3.510711,50.92065,122.8865,202.218,168.2188,228.293,1.562808,1.568841,1.602976,1.619407,1.603972,19.30267,18.21908,18.38263,18.13882,17.95028,0.6364079,0.7820165,0.8226584,0.8219528,0.7719299,STARBURST,0.03234868,5.79e-06
17.1588,15.64962,14.91276,14.49964,14.18321,136.9242,549.7327,1083.671,1585.413,2121.861,17.67196,16.10214,11.38049,11.50391,10.05983,146.3776,564.9742,1531.258,1060.385,1946.758,5.770131,5.49943,4.657154,4.800241,4.296728,18.71923,16.97026,17.49442,16.72395,16.24056,0.7207174,0.4266887,0.4407754,0.4597329,0.5337694,STARFORMING,0.03519356,7.52e-06
19.33297,18.61175,18.37027,18.00776,18.05416,18.48355,35.91683,44.86303,62.64592,60.01626,3.163936,3.16307,3.620872,3.804276,3.772048,18.22348,35.8216,61.65383,47.46025,60.68712,1.743063,1.569823,1.689957,1.834176,1.669187,19.92663,19.12516,19.37239,18.75205,18.96298,0.7268052,0.6982172,0.6400753,0.707058,0.5258421,STARBURST,0.09695488,8.29e-06
17.95888,16.99145,16.14011,15.73911,15.45767,65.53111,159.7417,349.9082,506.2399,656.0446,2.770867,5.083693,8.593239,9.892763,7.276917,26.92802,117.7371,440.7253,325.4892,480.8522,1.24463,2.653539,3.739422,4.202972,2.965621,19.42634,18.11272,18.72608,17.81285,17.39302,0.9378013,0.7660592,0.7829406,0.7575755,0.8130634,STARBURST,0.2519583,9.53e-06
18.93772,17.51268,16.7641,16.34207,16.02027,26.60125,98.83908,196.9509,290.5161,390.7422,10.13681,5.335841,4.556394,4.856493,6.63558,31.06845,103.5198,287.2796,206.0734,378.516,2.808362,2.475983,2.161015,2.309294,2.14673,20.1907,18.0831,18.64092,17.69143,17.25179,0.3563588,0.4580636,0.4727736,0.471475,0.4812509,STARFORMING,0.06603458,1.06e-05
21.48362,20.90656,20.51878,20.1876,20.44698,2.542385,4.336974,6.199041,8.409341,6.542712,68.32791,1.807777,3.673584,1.64608,1.466977,3.04861,4.16538,6.739927,5.865653,4.828239,1.331969,0.8454949,0.7329333,0.846701,0.6691243,21.63504,20.72798,21.0728,20.33124,20.61801,0.05,0.4636621,0.3555319,0.1467212,0.05,STARBURST,0.1254594,9.99e-06
21.9486,21.20247,20.41119,20.09467,19.93541,1.649941,3.301333,6.845244,9.161471,10.56137,5.591916,1.380453,1.499954,1.378923,1.029165,1.486363,2.850224,9.321735,6.832701,7.416661,0.6843071,0.6773763,0.7539501,0.686502,0.5140183,21.9708,20.54604,21.29915,20.22903,20.05796,0.08693751,0.1797124,0.8648451,0.9474944,0.09608087,STARBURST,0.4156609,1.72e-05
18.944,17.922,17.39726,16.91757,16.81429,26.44758,67.795,109.9247,170.9903,188.0513,2.046397,2.46669,2.421511,2.481708,2.361609,21.99848,61.66068,156.0834,101.7545,168.4879,1.051477,1.185329,1.170638,1.182422,1.111677,19.51792,18.14959,18.62485,17.61549,17.62219,0.4160866,0.6085991,0.6714876,0.6386865,0.581542,STARBURST,0.08406359,6.01e-06
20.49209,19.24709,18.5516,18.16978,17.93243,6.35262,20.00578,37.96244,53.96149,67.13928,18.01484,4.161181,4.022945,4.104598,3.694443,8.061169,19.14957,52.13425,38.00528,50.77151,2.583758,2.004725,1.975714,2.031505,1.577939,21.78564,20.39484,20.9002,20.068,19.51965,0.7489889,0.609725,0.6568494,0.6729749,0.6435655,STARFORMING,0.1299314,1.42e-05
19.55861,17.80806,17.00985,16.57108,16.31912,15.01473,75.29633,157.0578,235.2695,296.7227,5.888082,4.387572,4.053762,4.137423,3.801139,16.08698,69.11978,198.2345,134.4917,246.3219,2.310865,2.003827,1.798521,1.874841,1.733303,20.79616,18.19311,19.14142,17.83776,17.57698,0.7796779,0.66312,0.6981953,0.7159433,0.7160879,STARFORMING,0.07694627,1.59e-05
18.95988,17.93407,17.18424,16.74183,16.50563,26.06366,67.04553,133.753,201.0333,249.888,12.03269,6.268235,6.065669,6.11082,5.765806,37.90107,69.89097,200.7798,134.1031,224.4268,4.094357,3.085128,2.941264,2.947017,2.657074,21.42923,19.45681,20.46569,18.93277,18.62353,0.8122819,0.8607714,0.8703913,0.8835078,0.9180475,STARFORMING,0.1922133,1.27e-05
20.08364,18.43028,17.51375,17.04993,16.70291,9.256434,42.45077,98.74101,151.3661,208.3683,4.764071,4.742572,4.346516,4.732874,5.294373,9.076077,40.01212,138.3734,90.83463,198.5398,2.130145,2.089263,1.956369,2.03785,2.112266,21.13527,18.61588,19.56448,18.30255,17.92429,0.5849314,0.6097531,0.5830316,0.6215155,0.6635045,STARFORMING,0.1403533,1.9e-05
19.32582,18.14432,17.43005,17.00381,16.75567,18.60576,55.24198,106.6544,157.9342,198.4835,11.62109,5.507374,4.802908,5.291738,4.58462,22.88827,61.35297,161.3378,113.5591,199.7319,2.810731,2.547319,2.229935,2.348432,2.203217,20.68812,18.94423,19.50699,18.50922,18.14458,0.6893169,0.5959734,0.6599169,0.692004,0.6717476,STARFORMING,0.1325969,9.24e-06
19.01596,17.84585,17.26812,16.89416,16.68001,24.7515,72.72095,123.8088,174.7167,212.8095,4.761387,4.513434,4.728154,4.639287,4.976003,24.40993,68.65587,168.5157,121.0524,211.5639,2.285885,2.281217,2.269605,2.288879,2.323187,20.46021,19.13599,19.41353,18.74082,18.53383,0.8848353,0.8817753,0.9153061,0.8982412,0.8647374,STARBURST,0.08609161,8.23e-06
19.76149,18.4506,17.88092,17.57464,17.48073,12.45516,41.66379,70.40949,93.3561,101.7853,4.976815,5.29466,5.261906,5.475683,5.394114,13.24761,39.52578,88.28696,67.53244,83.69421,2.651726,2.578349,2.465701,2.503126,2.252259,21.94183,20.21212,20.53545,19.93185,19.46814,0.7186685,0.6207199,0.6594155,0.6352633,0.6584302,STARFORMING,0.1577746,1.29e-05
19.43993,18.15368,17.52058,17.07038,16.76631,16.74941,54.76799,98.12221,148.542,196.5491,9.188952,8.237011,6.939974,7.202582,6.061509,20.02233,60.77784,142.131,95.40306,174.5441,3.991828,3.833853,3.187401,3.288338,2.922717,22.18832,20.00586,20.54857,19.58883,18.95424,0.200079,0.2178167,0.2100034,0.202012,0.1999981,STARFORMING,0.09337257,9.69e-06
19.42732,17.92548,17.16568,16.73381,16.40848,16.94505,67.57822,136.0594,202.5229,273.278,3.488544,3.708011,3.572062,3.677828,3.643766,17.10884,68.01808,205.6209,138.4691,264.679,1.75023,1.823402,1.744074,1.795343,1.721141,21.13285,18.85548,19.50579,18.66703,18.11236,0.8422339,0.6657444,0.6697571,0.6498849,0.6404463,STARFORMING,0.08691904,8.07e-06
19.91179,19.00851,18.82439,18.51411,18.52431,10.84457,24.92242,29.52822,39.29593,38.91538,2.309822,1.950927,1.95279,1.936673,2.277979,10.81109,24.32751,38.96844,29.38121,43.57645,1.111037,0.9858701,0.950519,0.9456788,1.064386,20.19923,19.27553,19.39604,18.97668,18.98404,0.5927756,0.4035936,0.3844208,0.3760025,0.5095601,STARBURST,0.07417152,4.63e-06
19.61335,18.38182,17.63861,17.22512,16.96554,14.27644,44.3884,88.01475,128.8099,163.5967,4.175169,4.090282,3.817836,3.908922,3.526949,17.48029,47.86327,133.4763,90.69514,162.4731,2.100744,1.909439,1.767127,1.799629,1.675122,21.39694,19.04219,19.91691,18.70083,18.40116,0.6484935,0.6936719,0.6920845,0.7316616,0.6800098,STARFORMING,0.1677398,9.45e-06
20.71607,19.34776,18.67192,18.24798,17.99368,5.167163,18.23413,33.98021,50.21146,63.45564,2.267991,2.600097,2.370959,2.657449,2.698927,4.853598,19.82667,52.15172,37.7812,65.84488,1.030041,1.255704,1.156965,1.275084,1.221026,21.43864,19.70598,20.22604,19.2603,18.94518,0.4756596,0.3545453,0.3622836,0.363667,0.4245957,STARBURST,0.1286574,9.1e-06
19.19666,17.84169,17.17339,16.78855,16.53834,20.95649,72.99998,135.097,192.5653,242.471,5.487629,5.563003,5.395475,5.496708,5.140391,19.52123,71.05647,175.0381,126.3836,209.8143,2.721643,2.879963,2.672243,2.733353,2.533033,21.14337,19.45645,19.88902,18.9659,18.62808,0.5648165,0.6978082,0.6671025,0.6735191,0.6999999,STARFORMING,0.0673866,1.22e-05
19.09245,18.01596,17.66111,17.34466,17.26357,23.06763,62.17459,86.20922,115.3815,124.3247,6.174204,5.864433,5.725553,5.51677,5.125745,27.4598,67.96053,118.636,88.49233,110.2952,2.890496,2.781679,2.571436,2.559577,2.154845,21.01131,19.42279,19.88982,19.21009,19.27444,0.8212432,0.7925469,0.7796962,0.7710039,0.7526761,STARBURST,0.06734173,7.36e-06
18.88041,17.98203,17.55728,17.30837,17.21198,28.04295,64.14863,94.86089,119.3033,130.3753,3.966753,3.738724,3.875451,4.001804,3.808828,27.25614,63.25945,115.5627,92.2821,116.7847,1.965991,1.9065,1.898188,1.950788,1.734553,19.9351,18.72146,19.21589,18.55168,18.51785,0.6376204,0.6668876,0.6588349,0.6082858,0.6829123,STARBURST,0.1463986,7.87e-06
20.06339,18.49538,17.19965,16.64539,16.22294,9.43084,39.98009,131.8678,219.7079,324.205,7.02213,5.919538,5.570748,5.591256,5.316195,10.87582,30.5436,147.734,90.65761,209.2488,3.889028,2.912252,2.709082,2.716764,2.667213,22.43458,19.53889,20.93122,18.9283,18.36573,0.4670528,0.7124716,0.8292419,0.8272514,0.7754803,STARFORMING,0.260507,3.8e-05
20.05251,18.04024,17.23988,16.77052,16.53395,9.525791,60.79979,127.0715,195.7897,243.4546,3.788373,4.736645,4.341689,4.462443,4.09887,8.813972,61.4994,188.2703,125.687,208.3449,1.970252,2.426048,2.191473,2.268753,1.999147,21.53627,18.89915,19.49632,18.43839,18.04591,0.4949833,0.6630452,0.6879012,0.7260793,0.811446,STARFORMING,0.1218451,2.68e-05
21.73405,20.88179,19.81052,19.42936,19.04979,2.015103,4.437171,11.90546,16.9125,23.97013,2.388248,3.018803,2.379816,2.854498,3.109225,0.8415858,3.921918,13.96078,11.70809,26.37292,0.6490115,1.207435,1.157841,1.357584,1.529176,22.33116,20.49367,21.6973,20.0423,19.85368,0.05,0.7000381,0.8006166,0.6693365,0.6690894,STARBURST,0.3712729,2.08e-05
22.20927,21.65867,21.71093,21.45788,21.85528,1.292057,2.166623,2.061406,2.59884,1.508475,1.007009,0.9870995,0.9960708,0.9472131,0.9592384,1.147478,1.844135,2.455184,1.725777,1.505028,0.5877607,0.5382274,0.5502016,0.5240698,0.4774778,22.35302,21.90904,21.82748,21.77485,22.10182,0.7057065,0.3426535,0.8400742,0.7634444,0.30257,STARBURST,0.0525033,9.13e-06
18.18011,16.67586,15.89525,15.48057,15.17252,53.45068,213.6275,438.4307,642.3494,853.0815,7.080201,8.512301,7.886399,8.058027,6.852558,51.06108,195.9072,560.3273,387.8916,698.6187,3.376795,3.488572,3.210877,3.300782,3.018824,20.25636,17.83945,18.65668,17.48876,17.10953,0.6852344,0.7405318,0.7213169,0.7801917,0.7805008,STARFORMING,0.07267596,1.1e-05
20.85521,20.41709,19.94253,19.54633,19.58426,4.544713,6.8091,10.54222,15.18469,14.6282,1.354514,1.314778,1.177401,1.182307,2.267073,4.169466,6.648157,14.64964,9.972781,15.73052,0.6777678,0.6572266,0.5615445,0.5795267,0.6416436,20.84423,20.10226,20.52741,19.71461,19.70303,0.05,0.6095561,0.9246854,0.8319656,0.2361708,STARBURST,0.1933526,1.13e-05
21.30633,20.97554,20.10561,19.76619,19.50961,2.995856,4.069787,9.071482,12.40032,15.67433,3.280992,2.722642,2.860484,2.603627,3.081801,3.863176,4.245623,12.87914,8.664096,16.716,1.470933,1.291382,1.286523,1.247066,1.303654,22.23859,21.306,22.10938,21.03085,20.72847,0.3816148,0.5291975,0.6080161,0.6326918,0.3629277,STARBURST,0.3939506,2.74e-05
19.27703,18.72196,18.46368,18.21104,18.36734,19.46104,32.44986,41.16479,51.94923,44.97253,9.733559,3.650805,3.414609,3.564808,4.343963,21.72903,31.37629,47.45736,38.25805,50.99855,1.892749,1.540941,1.475896,1.524625,1.826265,20.01385,19.22761,19.52094,19.0184,19.26805,0.6638166,0.4385358,0.4767841,0.4422885,0.5713148,STARBURST,0.1358179,8.7e-06
22.43123,21.97034,21.70365,21.18899,21.30632,1.046987,1.623818,2.075369,3.335369,2.820034,1.41784,1.526805,1.453841,1.614641,0.9098445,0.7479694,1.36775,2.872356,1.902742,1.447122,0.5951113,0.7830082,0.7115084,0.7928807,0.4890746,22.40242,21.81244,22.05558,21.3162,21.38331,0.07769689,0.6540265,0.09668769,0.1437209,0.09323604,STARBURST,0.3860005,1.29e-05
19.41502,18.08978,17.47962,17.10726,16.87974,17.1381,58.08806,101.8944,143.5802,177.0508,3.851099,4.780797,4.530531,4.765578,4.5599,6.335143,57.11827,132.1452,101.7132,180.3397,0.9896509,2.336864,2.12664,2.336207,2.380701,20.73191,18.98108,19.4297,18.67651,18.4868,0.4200212,0.4228017,0.4442303,0.4140827,0.4364059,STARFORMING,0.06493969,9.32e-06
18.94932,18.2077,17.93724,17.54334,17.5115,26.3185,52.10957,66.85039,96.08654,98.9413,2.791341,2.42157,2.173111,2.137742,8.554042,26.9467,50.84803,93.8587,65.09088,94.57814,1.330855,1.230544,1.123692,1.094415,1.147505,19.55319,18.91984,18.89402,18.53006,18.25492,0.891582,0.8644567,0.8941385,0.9167045,0.9779055,STARBURST,0.07708012,5.44e-06
20.59053,19.87291,19.35654,19.33859,19.38998,5.801415,11.24113,18.08687,18.38749,17.50789,2.2526,2.127809,2.239557,2.019107,4.796713,4.891358,10.32475,17.62745,16.45264,18.8643,0.9347857,0.9793814,0.9661942,0.9099037,1.153131,21.23056,20.27417,20.5764,20.29528,20.24553,0.3668877,0.3688858,0.3853528,0.4492071,0.3603916,STARBURST,0.2422677,7.32e-06
18.68373,17.56493,17.08776,16.79669,16.553,33.61245,94.19535,146.1833,191.1275,239.2184,4.110506,4.232573,4.487524,4.564181,4.894226,35.2738,96.94505,195.9487,149.349,250.0071,2.179055,2.130224,2.109562,2.134472,2.239409,20.28088,18.67816,19.07966,18.4497,18.1174,0.325285,0.3144796,0.3243687,0.31435,0.2884234,STARFORMING,0.03904073,6.63e-06
