u,g,r,i,z,modelFlux_u,modelFlux_g,modelFlux_r,modelFlux_i,modelFlux_z,petroRad_u,petroRad_g,petroRad_i,petroRad_r,petroRad_z,petroFlux_u,petroFlux_g,petroFlux_i,petroFlux_r,petroFlux_z,petroR50_u,petroR50_g,petroR50_i,petroR50_r,petroR50_z,psfMag_u,psfMag_r,psfMag_g,psfMag_i,psfMag_z,expAB_u,expAB_g,expAB_r,expAB_i,expAB_z,redshift,redshift_err
18.48504,17.30502,16.63611,16.23378,15.99691,40.36261,119.6723,221.5919,320.9865,399.2388,6.497016,6.375176,5.400487,5.920044,4.892348,35.65637,98.66408,234.2448,169.9474,269.5617,2.92354,2.93247,2.398907,2.574255,2.146813,20.22197,18.36158,18.84102,17.99339,17.77084,0.5339219,0.6229632,0.6244054,0.6217663,0.6243974,0.1144098,8.68e-06
18.51658,17.30186,16.73792,16.40671,16.18779,39.20684,120.02,201.7584,273.726,334.8736,6.898775,6.909474,6.736532,6.826282,6.660656,37.82547,116.2754,245.9286,188.0574,306.367,3.692067,3.706218,3.424944,3.599218,3.460634,20.90048,19.03642,19.78897,18.75166,18.64784,0.922884,0.8498623,0.8500019,0.8499926,0.8933882,0.07750482,1.04e-05
19.44952,18.34858,17.72137,17.40098,17.25324,16.60201,45.76839,81.55528,109.549,125.5133,7.87165,3.97429,3.996209,4.145438,3.515127,13.45667,37.5517,89.22262,65.63412,87.0966,1.666435,1.730572,1.692932,1.687951,1.408479,21.07757,19.47067,20.01537,19.21115,19.01945,0.8230661,0.9211523,0.9676759,0.9591905,0.9615268,0.1656372,7.32e-06
19.65052,17.70754,16.9429,16.47933,16.19052,13.79577,82.6005,167.0479,256.0159,334.0327,5.324063,9.01574,7.615799,8.090466,7.305107,9.572375,94.59978,251.1225,178.2762,304.3011,2.749397,4.358498,3.644433,3.973791,3.387162,22.13779,19.51214,20.14038,18.95061,18.59101,0.8081311,0.7893715,0.7580441,0.6932573,0.6235315,0.07245472,9.4e-06
19.24693,17.9583,17.15092,16.67661,16.35709,20.0081,65.56589,137.9208,213.4788,286.523,7.525502,8.108734,6.862604,7.101567,6.601962,18.47888,58.38641,155.2581,103.6554,187.3216,3.67977,3.806361,3.074256,3.174719,2.755667,21.03996,18.87807,19.85317,18.35406,18.0645,0.4558449,0.42966,0.4678937,0.4241578,0.4425192,0.1735153,1.98e-05
22.3569,20.38454,18.98802,18.4184,17.9837,1.123694,7.016386,25.39703,42.91726,64.04138,1.675205,2.774463,2.319789,2.251011,2.238539,0.9949603,7.180383,39.45784,23.77631,60.81506,0.9148531,1.219227,1.036221,1.054337,1.112284,22.90827,19.67337,20.97588,19.10724,18.61954,0.05,0.7244249,0.7243247,0.6699122,0.7933801,0.3136416,3.62e-05
19.68384,18.35809,17.547,17.11959,16.84085,13.37875,45.36919,95.76381,141.9592,183.5065,5.01099,3.329791,3.273374,3.358291,3.141684,14.33169,39.24158,120.2649,84.51698,156.039,2.153402,1.587155,1.548426,1.602025,1.522857,20.60295,18.66715,19.49431,18.22091,18.03689,0.9486303,0.6730583,0.7284567,0.7300676,0.7745609,0.1575368,1.91e-05
19.08787,18.02273,17.64404,17.40511,17.27245,23.16516,61.78816,87.57555,109.1323,123.3122,9.944734,3.973216,3.888035,3.899501,3.869498,24.98233,61.61767,109.6428,88.28515,117.3615,2.112663,1.929957,1.864742,1.901325,1.756932,20.36837,19.10584,19.39662,18.95527,18.75123,0.5148762,0.5378927,0.5758397,0.5645568,0.5649057,0.06129929,6.79e-06
18.92999,17.76596,17.33841,17.10944,16.92488,26.79125,78.27345,116.0473,143.2926,169.8395,9.03287,7.736143,6.804147,7.42204,6.505714,32.34914,77.83153,133.1926,117.8829,148.3854,4.179242,3.481534,3.049665,3.377189,2.784,21.07081,19.77365,19.90626,19.51974,19.16493,0.2008663,0.2140904,0.2260405,0.2583939,0.2262258,0.02826478,7.16e-06
19.90027,18.16286,17.41995,17.00742,16.72076,10.96023,54.30695,107.6511,157.4104,204.9704,6.565937,7.084877,6.537485,6.323916,6.346063,9.511444,55.37981,151.9848,102.2574,210.1323,2.923273,3.26267,2.934559,2.918336,3.031449,21.6226,19.52587,20.16407,19.11931,18.94885,0.1605155,0.1934192,0.197512,0.2070626,0.2158615,0.07293549,1.33e-05
