u,g,r,i,z,modelFlux_u,modelFlux_g,modelFlux_r,modelFlux_i,modelFlux_z,petroRad_u,petroRad_g,petroRad_i,petroRad_r,petroRad_z,petroFlux_u,petroFlux_g,petroFlux_i,petroFlux_r,petroFlux_z,petroR50_u,petroR50_g,petroR50_i,petroR50_r,petroR50_z,psfMag_u,psfMag_r,psfMag_g,psfMag_i,psfMag_z,expAB_u,expAB_g,expAB_r,expAB_i,expAB_z,redshift,redshift_err
18.81772,17.50245,16.72714,16.31253,16.01054,29.70987,99.775,203.7707,298.5291,394.2594,15.12622,4.911197,4.788369,5.038025,4.569698,28.03311,87.71309,252.5507,178.0026,316.8699,2.479891,2.179759,2.071152,2.193872,1.912629,20.08343,18.03348,18.937,17.65284,17.41986,0.7163846,0.8317935,0.8863053,0.8563941,0.8639532,0.07534586,1.14e-05
20.72651,18.99249,17.5315,16.97889,16.58842,5.117644,25.29279,97.13989,161.6002,231.5399,3.919526,4.640092,3.685034,3.908016,3.445944,4.570304,24.59917,142.6374,85.19431,192.1494,1.725154,1.981348,1.727638,1.807108,1.598021,21.9545,18.83189,20.41766,18.35128,18.05145,0.6366517,0.6637759,0.7690585,0.7652285,0.777498,0.2660865,3.92e-05
21.93044,20.92401,20.01092,19.31989,18.99486,1.67815,4.26781,9.898479,18.707,25.21628,2.069613,2.184495,4.307535,3.134203,2.68097,2.233432,3.514812,19.95637,9.691565,24.68146,2.130905,1.029093,1.390739,1.347356,1.235864,22.41748,20.75491,21.61081,20.16323,19.85015,0.09634063,0.8357877,0.7644141,0.829696,0.736559,0.5564376,7.61e-05
21.27387,18.99463,17.579,17.0101,16.61756,3.087188,25.24316,92.98234,157.0216,225.4085,3.121973,6.485454,5.75809,5.87007,4.722348,2.966572,21.01186,131.6006,78.80785,176.7839,2.904072,2.517655,2.392131,2.477911,2.256721,22.81168,19.27897,20.51181,18.77674,18.31465,0.5750276,0.7937717,0.7927734,0.7738979,0.7893035,0.2130367,2.44e-05
20.35794,18.61521,17.61905,17.15065,16.79356,7.188823,35.80264,89.61461,137.9561,191.6772,5.915906,5.753446,5.603839,5.718382,5.497056,8.304314,38.62347,147.1977,96.43275,187.3486,2.849493,2.610364,2.54566,2.627629,2.357439,21.87156,19.48059,20.50078,19.06967,18.52727,0.4073825,0.3838276,0.3817732,0.3817994,0.3852712,0.1290966,1.68e-05
19.63493,18.29284,17.7768,17.4712,17.27213,13.99535,48.17964,77.49595,102.6876,123.3479,5.980637,5.52236,5.174244,5.265144,5.93305,15.82051,45.98969,94.00466,73.40057,132.1904,2.971866,2.721089,2.543709,2.643663,2.943385,21.73994,19.99466,20.53687,19.87384,19.5834,0.7702351,0.7233097,0.7278035,0.7880539,0.7172822,0.07545896,1.43e-05
18.96792,17.78514,17.07976,16.63713,16.41462,25.87144,76.90285,147.2644,221.3848,271.7372,7.447957,7.251636,6.347342,6.760695,5.422712,28.32153,79.71708,199.275,138.3064,198.3418,3.64211,3.434526,2.886349,3.108999,2.231051,20.95546,19.02724,19.92343,18.70092,18.50253,0.2664526,0.2697829,0.2758558,0.2779983,0.2653885,0.1368979,8.93e-06
19.12013,17.98401,17.57563,17.354,17.4263,22.48704,64.03149,93.27148,114.3924,107.0191,10.21933,7.820163,7.455285,8.03413,7.801847,26.96146,58.80727,96.85332,86.24516,93.93535,4.45637,3.807753,3.520261,3.818514,3.336714,22.05562,20.49357,20.8712,20.20425,20.34954,0.5742404,0.5188492,0.5202976,0.4980325,0.4881906,0.05371517,1.17e-05
19.72342,18.63589,18.20123,17.95708,17.81406,12.8997,35.12684,52.42094,65.63963,74.87451,27.9198,7.619641,7.24485,8.315385,6.780881,17.77398,36.4334,57.0666,55.82495,55.21909,4.414069,3.595603,2.844956,3.633106,2.426284,22.0587,20.9395,21.08705,20.70925,20.39038,0.2643048,0.3216905,0.3255353,0.3467173,0.3061008,0.0551267,6.44e-06
20.74613,19.63416,19.01748,18.63943,18.50486,5.025862,14.00611,24.71717,35.01214,39.61897,18.01976,3.791707,3.285016,3.709019,2.312417,6.499848,15.24496,31.59642,27.3411,26.53083,2.453906,1.672005,1.328034,1.657481,0.9712413,21.71995,20.48366,20.91831,20.05517,19.67256,0.2526788,0.332343,0.3582724,0.3400865,0.4302018,0.1540505,1.2e-05
18.74314,17.6079,17.06345,16.67617,16.474,31.82249,90.53987,149.4921,213.5655,257.274,18.01866,6.276243,4.792762,5.006059,4.354508,34.14627,85.26355,181.6723,132.0649,215.8385,3.01591,2.487734,1.976711,2.13706,1.96104,20.05656,18.53255,18.94957,18.2069,18.00656,0.6793272,0.8120469,0.7959951,0.8234131,0.8929311,0.06303046,7.95e-06
20.43516,18.58294,17.53295,17.05071,16.68335,6.694951,36.88274,97.0105,151.2564,212.1551,3.225827,3.916776,3.615832,3.819983,3.50796,3.882583,31.31246,123.1276,81.51834,165.7514,1.196697,1.855644,1.706905,1.761659,1.656522,21.50533,18.89612,19.79934,18.35672,17.921,0.293491,0.672442,0.6641411,0.6632615,0.7084916,0.1650392,4.45e-05
16.83213,15.5141,14.81893,14.46119,14.13763,184.9897,622.8135,1181.484,1642.565,2212.828,2.970221,13.87398,11.95129,12.4468,11.90127,238.9562,535.3563,1237.101,912.5345,1622.548,9.371069,6.363455,5.445905,5.682154,5.490612,19.76373,17.61475,18.32654,17.32296,16.87519,0.6755384,0.5952768,0.6104468,0.5896986,0.6184933,0.04896474,1.37e-05
19.39894,18.17059,17.82353,17.61636,17.57202,17.39377,53.92168,74.23148,89.83702,93.57618,4.182454,4.303838,4.194358,4.076779,3.734757,15.5212,53.41385,88.59924,70.49542,85.55656,1.84608,1.968996,1.92018,1.849761,1.741256,20.7152,19.56275,19.75614,19.38467,19.29849,0.3499975,0.349072,0.369138,0.3673948,0.3544278,0.0301097,6.9e-06
21.96254,20.86568,19.7192,19.37723,19.10736,1.628586,4.503558,12.95042,17.74448,22.72996,2.970577,3.752621,3.765302,3.350229,1.883988,2.134894,4.200133,20.06812,12.36908,17.48891,1.706569,1.541026,1.680944,1.436751,1.048401,23.11201,20.77718,21.83059,20.44479,19.88523,0.1999994,0.2750431,0.4650356,0.5505137,0.05,0.3708376,2.12e-05
19.9725,18.52512,17.71678,17.24454,16.93976,10.25464,38.89988,81.90041,126.527,167.5285,3.688133,3.717406,3.612976,3.669319,3.539838,11.25294,40.69207,128.519,82.33488,163.3252,1.889164,1.794722,1.720796,1.718076,1.61415,21.39786,19.28102,19.98217,18.87287,18.37949,0.3721231,0.588266,0.6024987,0.6040698,0.5662672,0.1269948,9.5e-06
19.38154,17.99844,17.14309,16.73905,16.41609,17.67484,63.18657,138.9202,201.548,271.3697,6.619626,6.846931,6.271773,6.260023,5.805347,15.66324,58.20668,159.3983,112.9722,196.5037,3.239681,3.412616,3.001812,3.05918,2.688175,21.07777,19.06107,19.89493,18.70115,18.33995,0.7134824,0.6319928,0.5751015,0.5346618,0.6218396,0.1092338,1.26e-05
26.0076,21.90236,20.27,19.44604,18.87616,-0.4562528,1.729357,7.796477,16.65461,28.13436,2.969447,2.328878,2.337131,3.088573,1.877329,0.1302342,1.154081,15.51967,7.484203,18.06595,4.215019,0.8686221,1.174099,1.266842,0.7892556,25.56742,20.99125,22.61996,20.23285,19.65579,0.05,0.574877,0.3747337,0.6734595,0.3501723,0.4775956,6.52e-05
20.44535,18.57669,17.77425,17.35215,17.00097,6.632357,37.09548,77.67843,114.5884,158.3441,4.894246,5.597037,4.555545,4.876572,4.718402,5.534338,39.06264,108.8907,75.28124,146.819,2.064938,2.552645,2.116629,2.18521,2.110695,21.84493,19.31417,19.959,18.95239,18.57841,0.1499877,0.2680343,0.2805383,0.2845795,0.2725269,0.1074573,2.31e-05
22.06029,21.32564,21.11427,20.48734,20.70344,1.486212,2.946718,3.579356,6.378482,5.126796,1.036038,1.160131,2.183485,1.4483,2.265269,1.190794,2.596636,7.419168,3.000371,5.646928,0.5392777,0.6467401,0.8734803,0.6043347,0.6679899,22.19722,21.56214,21.68132,20.94106,20.96678,0.1085387,0.7296681,0.3644341,0.8596089,0.05,0.09473274,6.03e-06
18.8537,17.57966,16.92399,16.57605,16.35054,28.74146,92.92548,169.9825,234.1955,288.2571,8.757245,8.159297,7.928439,8.036752,7.772725,27.68181,88.36532,198.7961,150.885,233.8125,4.710321,4.354801,3.930925,4.117438,3.800455,21.55353,19.71784,20.33083,19.39575,19.0068,0.6229721,0.7962493,0.7447716,0.720638,0.6722618,0.1097317,1.87e-05
21.50224,21.09361,20.28293,20.61275,21.21602,2.498896,3.649996,7.704077,5.681545,3.094989,2.225008,2.030056,3.790757,1.473012,1.984789,2.919456,3.6541,4.743464,7.325004,2.542313,1.018913,0.9765447,0.641174,0.7277654,0.54232,21.55684,20.38683,21.17129,20.70235,21.27838,0.1048363,0.3541431,0.427148,0.147586,0.05,0.2139131,8.02e-06
19.49023,18.11536,17.04048,16.5327,16.21374,15.99093,56.7353,152.6886,243.7369,326.9642,5.298738,6.429136,5.919929,6.117974,6.606565,9.135072,43.15667,168.1656,108.4128,235.2173,2.044996,2.908099,2.670921,2.732912,2.865641,21.6835,19.2028,20.27647,18.69052,18.38087,0.5574342,0.6198927,0.6660227,0.6448412,0.6323408,0.2282961,2.22e-05
18.93665,17.37815,16.71317,16.27946,15.99113,26.62728,111.8773,206.4107,307.7612,401.3724,6.799275,6.817985,6.415558,6.399794,6.715517,28.73034,117.8667,299.5677,204.9704,400.1873,3.366742,3.240327,2.864071,2.929597,2.961335,21.3114,19.10417,19.68678,18.75852,18.34908,0.2502048,0.2659037,0.3135383,0.3134473,0.2782497,0.06594308,9.03e-06
18.4409,16.94557,16.32941,16.04952,15.83644,42.03742,166.6372,293.9244,380.3565,462.8311,9.543839,10.07956,10.10488,10.68252,10.15266,35.18313,160.8518,352.9815,296.2267,446.7721,4.26342,4.796854,4.738531,5.129568,4.925495,21.09914,19.30282,19.66477,19.09617,18.72157,0.8017123,0.8826763,0.898449,0.8981441,0.8826534,0.02504325,2.21e-05
24.44252,19.63035,19.95148,18.98935,17.55641,0.0498143,14.05539,10.45566,25.36516,94.93098,2.970053,4.705754,3.969936,3.894875,3.077189,0.6200491,13.02323,18.77099,8.359571,65.01283,7.179054,2.046456,1.676347,1.866413,1.481968,24.63407,21.65388,21.31487,20.657,19.15925,0.1500029,0.3357331,0.2476769,0.3072291,0.3811732,0.2159625,3.36e-05
21.47037,21.16717,20.74861,20.80011,20.78799,2.573787,3.410581,5.015406,4.779043,4.726391,1.6886,1.295352,1.598844,1.289976,1.14399,2.44455,3.392365,5.205876,4.793109,1.240183,0.7251687,0.6761166,0.7659732,0.6712927,0.3466358,21.50776,20.8113,21.25491,20.89817,20.90302,0.1498636,0.4121267,0.08516182,0.449973,0.09729663,0.2456646,1.15e-05
18.66219,17.68636,17.48017,17.26927,17.28562,34.28601,84.22766,101.8428,123.6778,121.8252,6.006684,6.436634,6.414549,6.439696,6.147595,34.5467,86.01133,121.6278,102.6951,112.7083,3.307071,3.323145,3.239479,3.273443,3.04212,21.16187,20.31067,20.44279,20.0944,19.87853,0.7500091,0.903511,0.9638015,0.8850937,0.7398322,0.05615914,8.85e-06
20.50779,18.71986,17.84974,17.42386,17.07334,6.261317,32.51255,72.46078,107.264,148.1333,18.01897,3.803806,3.458873,3.778954,3.20643,7.089625,34.89294,111.2338,76.97626,153.9046,2.092477,1.761105,1.622688,1.713365,1.706461,21.41637,19.08383,19.82657,18.64032,18.21035,0.05,0.3109843,0.2763243,0.29066,0.300988,0.07149015,1.38e-05
18.60512,17.16554,16.47852,16.07346,15.7614,36.13642,136.0771,256.2066,372.0623,495.9499,6.504622,6.237791,5.715477,5.952437,5.475374,38.40141,141.0074,365.3798,256.4578,468.0468,2.887742,2.807529,2.51854,2.635081,2.365141,20.44063,18.53101,19.17565,18.14736,17.7339,0.1905316,0.2083943,0.2089846,0.2171896,0.2142486,0.03683768,6.31e-06
17.46748,16.31827,15.97035,15.79057,15.68085,103.0407,296.9559,409.1289,482.804,534.145,9.853947,11.83016,11.7669,11.97448,11.60061,96.05934,308.4589,511.2847,419.7348,513.6567,4.924026,5.600928,5.517978,5.40874,5.097353,20.54153,19.09017,19.06456,18.94635,18.68436,0.7062219,0.782329,0.790665,0.7840028,0.7749587,0.02958262,7.22e-06
18.55223,17.23877,16.69024,16.34956,16.11763,37.9405,127.2011,210.817,288.5193,357.2273,8.753339,8.356048,8.094714,8.867811,7.192999,39.31149,125.6302,254.8315,198.9847,269.7646,4.405022,4.418664,4.023546,4.229958,3.506398,21.60377,19.68782,20.32852,19.26423,18.92016,0.7000092,0.7670309,0.739093,0.722914,0.7118613,0.08493315,1.09e-05
21.30925,20.50247,19.17935,18.6363,18.3738,2.987797,6.293969,21.29338,35.11287,44.7055,2.228714,3.59911,2.867783,3.198979,2.591746,2.826232,5.758897,28.53903,18.08919,29.98928,1.590799,1.660767,1.409776,1.557206,1.1938,22.25914,20.29352,21.58023,19.80886,19.51851,0.05,0.8130222,0.9999354,0.8429849,0.5580074,0.3878815,3.57e-05
19.61141,18.44629,17.7653,17.36978,17.04375,14.30187,41.82937,78.32126,112.7424,152.2265,7.179894,7.89814,7.172912,8.129958,7.899663,9.867057,42.56791,111.4392,82.66703,141.3754,2.320018,3.570381,3.216048,3.610627,3.104696,21.67821,20.19556,20.78936,19.90648,19.4709,0.06009514,0.1226193,0.1546747,0.1532789,0.1448127,0.1412198,9.6e-06
19.62464,18.35429,17.63463,17.16051,16.9144,14.1287,45.52854,88.33759,136.7079,171.4872,4.330227,3.810796,3.566254,3.883577,3.453927,15.15325,45.80132,128.3431,86.34891,149.1701,2.066547,1.900592,1.758179,1.867844,1.624625,20.86819,18.9217,19.8107,18.40978,18.24103,0.4368001,0.382711,0.3734655,0.3865163,0.3902929,0.1016685,7.07e-06
19.42009,18.14762,17.45335,17.01367,16.72434,17.05834,55.07471,104.3905,156.5063,204.2956,6.963185,4.405135,3.954149,4.166852,3.752665,21.33855,62.0382,166.1886,114.9884,202.0236,2.199925,2.031899,1.825507,1.949719,1.69146,20.439,18.56786,19.25105,18.20925,17.77685,0.5462226,0.5420892,0.5428672,0.5357398,0.5591803,0.09436826,6.23e-06
19.58891,18.29564,17.71587,17.35546,17.08049,14.60144,48.05526,81.96958,114.2395,147.1606,8.704068,6.066991,5.439124,5.80022,5.343894,19.10164,49.43222,112.4012,81.0044,162.4306,3.10815,2.799164,2.552872,2.609017,2.866418,21.65774,19.93671,20.3707,19.67235,19.26302,0.7957292,0.5582768,0.593965,0.5880863,0.5666019,0.07829402,1.31e-05
19.88933,18.51205,17.72923,17.27507,16.97245,11.07131,39.37104,80.96657,123.0191,162.5584,3.677302,3.665759,3.512428,3.615614,3.647589,9.550955,39.43396,119.9186,79.15977,156.759,1.627643,1.718825,1.676623,1.695952,1.67361,20.57457,18.718,19.53997,18.28086,17.92144,0.5026243,0.3233775,0.3175577,0.3077777,0.3556588,0.101757,9.61e-06
22.28063,22.28742,21.19584,20.80052,20.54013,1.207888,1.209617,3.319675,4.777218,5.990566,3.28985,1.699266,1.546723,1.35922,1.578919,1.752195,1.071849,4.674518,2.549159,3.971912,1.39788,0.8190305,0.75919,0.6604327,0.7059918,22.34306,21.29773,22.35938,20.9066,20.68799,0.05,0.4588014,0.6497104,0.5612863,0.7500339,0.4379399,4.34e-05
21.3286,19.95081,19.00039,18.59752,18.17239,2.934777,10.46268,25.10933,36.38989,53.82227,1.956223,3.112108,2.871391,3.290817,2.716675,1.518143,9.926071,35.32697,24.96192,49.98755,0.7451351,1.460607,1.360308,1.481485,1.310642,21.76181,19.89335,20.75033,19.51627,19.09296,0.05,0.5759059,0.6281059,0.6917732,0.667718,0.2519958,1.96e-05
19.57922,18.30182,17.70292,17.33571,17.12673,14.73241,47.78286,82.95284,116.3361,141.0252,5.955933,5.196055,4.801431,5.221625,4.349698,16.92459,47.38743,109.9122,79.09784,111.7527,2.727448,2.32552,2.146779,2.193632,1.75624,21.36517,19.31248,20.03466,18.94697,18.60739,0.1519213,0.2024593,0.2160961,0.2268663,0.2402918,0.04399499,1.02e-05
19.96887,18.60497,17.77485,17.34028,17.00725,10.289,36.1418,77.63507,115.8471,157.4314,4.602522,4.403986,3.867222,4.048893,3.802783,13.28669,41.34087,117.9299,81.95235,157.6429,2.352707,2.084927,1.792695,1.879603,1.744865,21.71913,19.34656,20.34036,18.94669,18.55847,0.6899164,0.5854774,0.6160676,0.5635617,0.6101033,0.1286065,1.52e-05
18.55394,17.09283,16.37108,16.0053,15.73979,37.88081,145.5009,282.8586,396.1686,505.9212,9.73321,10.69895,9.784463,10.40509,9.264277,32.0848,149.3012,375.5105,276.8946,384.5224,3.833773,4.859558,4.26031,4.584346,3.462167,21.39046,19.53198,20.03131,19.13775,18.59475,0.4448483,0.3941965,0.3942555,0.3943488,0.3897771,0.06936354,1.45e-05
18.35453,16.93739,16.25587,15.88898,15.59357,45.51791,167.897,314.5243,440.9673,578.857,9.340031,9.161312,8.816577,8.984761,8.501228,53.00579,171.6273,425.3705,302.2885,541.4301,5.132583,4.797135,4.408232,4.441292,4.316002,21.84593,19.19753,20.02742,18.85367,18.42583,0.7951928,0.8895244,0.8902089,0.8772914,0.8793008,0.09738618,1.79e-05
18.18375,16.439,15.87942,15.53075,15.27203,53.27173,265.7063,444.8705,613.3406,778.3702,9.903966,11.19094,10.03896,10.32963,50.16945,51.95448,279.4846,593.0332,440.0776,748.9862,4.712308,5.211174,4.487383,4.655682,4.481734,20.27243,18.31501,18.62827,17.8234,17.39087,0.2363711,0.2969543,0.3217039,0.3009215,0.3226016,0.04315181,9.16e-06
19.12113,17.4144,16.49081,16.07763,15.74541,22.46636,108.2035,253.3246,370.6346,503.3072,18.02407,5.210322,5.211843,5.14708,5.146964,21.13282,91.65019,301.5461,203.0365,394.1314,2.523142,2.446386,2.337238,2.309919,2.252869,21.18433,18.35627,19.36798,18.02017,17.63342,0.8101683,0.8194305,0.7885994,0.7847367,0.7386373,0.1269576,1.56e-05
19.48261,18.28183,17.72809,17.41349,17.21626,16.10357,48.67051,81.05163,108.2933,129.8616,18.02049,5.971166,5.809799,6.121256,6.420112,22.64376,46.12104,101.6455,76.90874,130.9492,4.018662,2.738882,2.707616,2.73569,2.849047,21.84602,19.95274,20.48528,19.71908,19.50059,0.2178119,0.231356,0.2139797,0.2224808,0.2183428,0.05446392,1.12e-05
17.93084,16.48464,15.7559,15.31972,15.0461,67.24518,254.7682,498.4695,744.9235,958.425,6.143506,7.731038,7.760597,7.709257,7.622116,49.03389,204.4508,555.1381,387.6576,672.8139,3.056042,3.452579,3.309635,3.416925,3.10283,20.04816,17.9147,18.81608,17.42743,17.18717,0.7928863,0.8790503,0.8235431,0.7854922,0.7266815,0.07407346,8.1e-06
22.09939,20.82547,19.02462,18.43225,17.96795,1.432706,4.673576,24.55518,42.37332,64.97742,18.01568,3.750166,2.584576,3.568083,2.917037,1.926623,3.572149,26.77665,20.17549,47.31271,2.066347,1.543782,1.267842,1.682706,1.462015,23.30174,20.53461,22.33587,19.84113,19.48296,0.05,0.70583,0.7724471,0.7383163,0.6116909,0.3664102,9.28e-05
18.69079,17.38988,16.93317,16.67664,16.5783,33.39452,110.6748,168.5511,213.4737,233.7098,15.35131,14.87553,14.33527,14.91359,10.28748,43.7023,127.0828,231.8316,180.1663,197.3948,7.317638,6.673046,6.140217,6.015742,4.589317,21.73281,20.10756,20.48697,19.89359,19.58895,0.7778921,0.7442402,0.7574113,0.7350692,0.7906127,0.01781122,1.91e-05
19.8962,18.01023,17.10366,16.67616,16.37619,11.00148,62.50376,144.0575,213.5668,281.5276,5.071364,3.973863,4.034204,4.06848,3.868154,11.36224,56.01249,191.7775,128.3716,245.0251,2.113117,1.836453,1.799447,1.808189,1.722133,20.88247,18.20983,19.10421,17.85064,17.52832,0.4933947,0.4890412,0.5063754,0.5570036,0.5598268,0.07049703,2.72e-05
19.20641,17.54495,16.94605,16.56699,16.56911,20.769,95.94443,166.5637,236.1585,235.6955,8.471886,9.253962,10.15984,9.373669,8.544916,19.2691,88.73991,234.9432,156.9254,184.938,4.081246,4.248172,4.613916,4.343129,3.555568,22.27333,19.70452,20.28288,19.55778,19.36308,0.333802,0.4206728,0.4436144,0.4174699,0.3499843,0.06506005,1.31e-05
19.56933,18.02993,17.15416,16.70461,16.33469,14.86724,61.37983,137.5103,208.0435,292.4964,8.790093,7.067473,6.66053,6.850094,5.926266,19.52317,67.49267,212.0438,139.9514,289.7446,3.692416,3.215185,2.889134,2.957053,2.759731,21.00237,18.45258,19.58319,18.00935,17.72768,0.3538747,0.2788978,0.2999363,0.2932856,0.3138624,0.1003458,2.3e-05
18.5033,17.27604,16.68109,16.28941,16.04076,39.68944,122.9088,212.6007,304.9547,383.4376,6.600145,5.558663,5.268448,5.542042,5.121567,44.08068,119.9361,288.6255,207.9039,344.1711,2.825861,2.583709,2.455084,2.532279,2.29714,20.30522,18.60243,19.15116,18.20581,18.01445,0.4094278,0.4156553,0.4356294,0.4498978,0.4489771,0.08089264,6.33e-06
19.84244,18.26485,17.42092,16.84414,16.55362,11.5601,49.43789,107.5552,182.9555,239.0825,106.7393,3.763426,3.233416,3.535179,2.921884,17.55989,54.71399,186.2328,113.3844,228.0088,2.675306,1.726768,1.492143,1.610148,1.334047,20.78217,18.43161,19.38567,17.88242,17.59146,0.3622615,0.4124603,0.4331518,0.4663737,0.4937003,0.1113494,1.26e-05
17.03192,16.27125,16.01098,15.95015,15.83997,153.8981,310.0991,394.1023,416.8131,461.3288,5.031284,6.090651,7.312397,7.178216,7.671839,145.8831,316.9972,456.2485,418.9065,515.1646,2.403149,2.874398,3.410709,3.307189,3.573633,18.55746,18.14313,18.18769,18.28473,18.30245,0.8080953,0.7979491,0.8052278,0.7903291,0.779636,0.004143043,5.47e-06
18.84573,17.4057,16.64672,16.21233,15.89497,28.95323,109.0731,219.4376,327.391,438.5424,6.783194,6.158602,5.939807,5.995427,5.750278,30.99214,111.8218,333.8383,225.9459,436.6581,2.940954,2.801134,2.72518,2.756312,2.677151,20.29546,18.32116,19.0975,17.80495,17.57753,0.4229244,0.4564907,0.4696715,0.4765063,0.4890195,0.07075552,8.14e-06
21.7355,21.0506,21.09242,21.20176,20.60114,2.012398,3.797678,3.652292,3.296142,5.653124,1.12114,1.361193,1.263958,1.252788,1.139951,1.449914,3.176801,2.758731,3.022124,4.087425,0.6092331,0.6934762,0.6543489,0.63858,0.5874735,21.73925,21.15493,21.09416,21.26471,20.63588,0.05,0.05,0.05,0.1873964,0.5773494,0.003997222,1.42e-05
22.06923,20.87346,20.76622,20.93612,20.61433,1.473805,4.471369,4.934645,4.214653,5.582538,1.236447,1.400542,1.382925,1.453505,1.37509,1.125418,3.908808,3.69932,4.350898,5.125448,0.6977969,0.7386404,0.7428168,0.7259978,0.7416715,22.11099,20.86735,20.96635,21.05539,20.74671,0.1227786,0.3917735,0.5510238,0.9997789,0.4542121,0.01130831,9.18e-06
18.65223,17.607,17.2417,16.98181,16.89094,34.60191,90.61499,126.8586,161.1665,175.233,5.137647,4.805651,4.857677,4.703068,4.607888,37.92397,95.61806,165.8621,133.4892,175.2147,2.382313,2.26389,2.116852,2.187363,2.02402,20.04669,18.63857,18.99497,18.45131,18.32094,0.7361523,0.7538311,0.7960737,0.812594,0.7766144,0.1042249,6.75e-06
20.35335,18.53871,17.68096,17.25167,16.95256,7.219316,38.41621,84.64766,125.699,165.564,3.395645,4.058931,3.812393,3.961896,4.039923,6.785526,39.59218,120.6096,86.32156,164.1959,1.86363,2.057946,1.813087,1.942982,1.842911,21.48855,18.91101,19.67721,18.45333,18.17863,0.6614169,0.6913064,0.7302051,0.7548454,0.6808065,0.1918244,1.79e-05
18.933,17.63584,16.90022,16.5129,16.29997,26.71701,88.24001,173.745,248.2214,302.0018,6.454504,6.000271,5.204551,5.573743,4.24491,25.44113,80.31635,199.2583,146.1621,215.052,2.797471,2.664645,2.258092,2.560953,1.8686,20.42936,18.18538,19.15572,18.02632,17.88792,0.7499781,0.8111075,0.8295631,0.7831354,0.8270378,0.1266697,1.13e-05
17.96114,16.37065,15.53061,15.0975,14.77267,65.39474,282.9693,613.4177,914.112,1232.914,8.561906,6.536145,6.378201,6.518302,6.262177,66.17583,241.9371,730.7146,507.1919,954.118,3.499538,3.021072,2.849936,2.929627,2.762756,20.14047,17.69877,18.58617,17.22312,16.91996,0.5625305,0.6131141,0.6033145,0.6056616,0.6118408,0.09150155,1.56e-05
19.16116,17.90257,17.37918,17.02388,16.84312,21.65299,69.01955,111.7703,155.041,183.123,4.117349,4.619389,4.476335,4.772288,4.785401,17.67185,66.8731,148.536,108.4296,167.9973,1.778697,2.21256,2.069442,2.148285,2.06545,20.87722,19.52677,19.68627,19.18084,18.73137,0.6000479,0.5487204,0.5395411,0.570892,0.5919154,0.09095767,6.74e-06
19.68944,17.91919,17.07518,16.6128,16.31995,13.30999,67.97105,147.8867,226.4011,296.4938,5.999415,5.934014,5.559229,5.812434,5.317422,14.10602,71.73696,223.1117,148.8671,269.7086,2.622046,2.798915,2.564976,2.624127,2.327807,21.55303,18.72048,19.59258,18.17445,17.90821,0.4101201,0.3943878,0.4119826,0.4181285,0.4095926,0.09913678,1.61e-05
19.42491,18.19067,17.41501,16.97697,16.73921,16.98264,52.9336,108.1424,161.8872,201.5167,8.437151,6.629553,5.965191,6.389071,6.011093,21.9669,54.89333,154.1188,108.7739,177.5322,3.8116,3.219246,2.69394,2.934108,2.644307,21.03684,18.92405,19.6723,18.57671,18.16347,0.6936418,0.821496,0.8293155,0.8438759,0.912399,0.1980585,1.73e-05
19.72231,18.36157,17.58762,17.15607,16.8489,12.91287,45.22414,92.24651,137.2689,182.1511,2.79416,4.199223,3.050303,3.692206,3.118078,9.895013,41.92176,127.8641,87.39842,161.1801,1.410455,1.757254,1.683821,1.711733,1.613994,20.60695,18.63012,19.33316,18.18091,17.83335,0.2447814,0.4595725,0.5142957,0.5416306,0.5086796,0.107807,1.11e-05
19.73779,18.10641,17.53753,17.16279,17.04413,12.73009,57.20499,96.60202,136.4219,152.1731,4.6049,6.475012,6.76866,6.467751,5.933325,8.463133,54.31054,131.5575,91.66239,122.6231,2.357426,3.332324,3.332069,3.253058,2.763076,21.58474,19.90163,20.24403,19.4851,19.37527,0.7699634,0.6660788,0.7021611,0.7064103,0.6808578,0.06556898,1.24e-05
19.28113,18.4396,18.09156,17.77679,17.76103,19.38769,42.08799,57.99292,77.49609,78.62276,2.658168,2.279703,2.399955,2.412936,1.914104,20.23866,40.04357,78.41402,55.64593,74.19341,1.320695,1.128969,1.08085,1.169016,1.016146,19.73969,18.58659,18.9306,18.42638,18.31814,0.4689119,0.7103621,0.7564668,0.7123599,0.7961031,0.1220198,3.89e-06
20.3155,19.13138,18.70614,18.49378,18.29421,7.475606,22.25569,32.92605,40.03877,48.1074,6.484459,6.615032,6.491276,7.184989,4.137698,9.962719,25.09664,43.7862,35.63031,32.73637,3.615576,3.03264,2.994697,2.899633,1.839305,21.7428,20.54668,20.96621,20.46187,20.07695,0.1078876,0.2779231,0.2909736,0.2622046,0.2260307,0.1071265,1.49e-05
18.79901,18.52594,18.2374,18.19618,17.8286,30.22646,38.87072,50.70335,52.66486,73.87811,2.19644,2.269264,2.25284,2.442415,2.31779,29.55837,36.74821,52.93996,50.19393,69.50025,1.124867,1.123834,1.102455,1.18887,1.128001,18.94458,18.44289,18.69934,18.4656,18.05264,0.4631253,0.9999171,0.471085,0.379997,0.4874736,0.3036662,1.58e-05
